Start Training ...
Epoch 1 | Step 100 | loss = 5.310, acc = 0.000
Epoch 3 | Step 3100 | loss = 0.819, acc = 0.662
Epoch 3 | Step 3200 | loss = 0.856, acc = 0.636
Epoch 3 | Step 3300 | loss = 0.900, acc = 0.632
Evaluating Dev Set ...
Validation | Epoch 4 | acc = 0.666
Saving Model ...
Some weights of the model checkpoint at fnlp/bart-large-chinese were not used when initializing BartForQuestionAnswering: ['lm_head.weight', 'final_logits_bias']
- This IS expected if you are initializing BartForQuestionAnswering from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BartForQuestionAnswering from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BartForQuestionAnswering were not initialized from the model checkpoint at fnlp/bart-large-chinese and are newly initialized: ['qa_outputs.bias', 'qa_outputs.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
