Start Training ...
Epoch 1 | Step 100 | loss = 3.756, acc = 0.080
Epoch 3 | Step 2400 | loss = 0.247, acc = 0.876
Epoch 3 | Step 2500 | loss = 0.275, acc = 0.851
Epoch 3 | Step 2600 | loss = 0.277, acc = 0.856
Epoch 3 | Step 2700 | loss = 0.270, acc = 0.854
Epoch 3 | Step 2800 | loss = 0.224, acc = 0.885
Epoch 3 | Step 2900 | loss = 0.307, acc = 0.844
Epoch 3 | Step 3000 | loss = 0.271, acc = 0.855
Epoch 3 | Step 3100 | loss = 0.290, acc = 0.827
Epoch 3 | Step 3200 | loss = 0.281, acc = 0.851
Epoch 3 | Step 3300 | loss = 0.288, acc = 0.851
Evaluating Dev Set ...
Validation | Epoch 4 | acc = 0.712
Saving Model ...
